	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AT	1150	1131	949	959	1487	763	882	1371	1039	1378	1172	1098	922	1296	860	1426	1184	1445	1207	1197	855	1022	1033	1257	1381	1127	1286	986	1064	1246	1149	1052	1028	1303	1220	1164	1537	1338	1687	2079	1560	1261
AT,AU												7	24		8		1					5	18	18				10				9		19	5	11	8	1	16		88	7
AT,AU,BE,CA																																19										
AT,AU,CA,CN,SE																																									1	
AT,AU,CA,NZ																																										46
AT,AU,CZ,US																																	1									
AT,AU,DE																										15														5		
AT,AU,DE,FR																																									2	
AT,AU,DE,IT																															1											
AT,AU,ES																																									33	30
AT,AU,ES,GB																																										
AT,AU,FR,MD,PT,RO,SK,UA																																					2					
AT,AU,GB																																			44							
AT,AU,IN																												2														
AT,AU,IR																																		1								
AT,AU,IR,IT,PL,US																																			8							
AT,AU,NZ																																								1		
AT,AU,PL,UA,US																												1		1												
AT,AU,SG																					8																					
AT,AU,UA																		10						2																		
AT,AU,US																															3											
AT,BD,JP																						4																				
AT,BE																					16			2			95	43		35	3	9	67		1	50	68	16	11	63		
AT,BE,BR,CH																																										1
AT,BE,CA,FR																														6										12		
AT,BE,CH																																		51						5		
AT,BE,CH,DE,FI,GR,IT,PL																																	1									
AT,BE,CH,SI																																		84								
AT,BE,CL,DE																																						37				
AT,BE,CN,DE,RU																																		13								
AT,BE,CN,RU																																			32	19						
AT,BE,CU																															2											
AT,BE,DE																				2							5										14					
AT,BE,DE,ES,FI,FR,IT,NL																																						2				
AT,BE,DE,FR																																				33						7
AT,BE,DE,IR																																					1					
AT,BE,DE,IT																																								9		
AT,BE,DE,NL																					6																					
AT,BE,DE,RU																																			12							
AT,BE,DE,SI,US																																				1						
AT,BE,DK																																	44									
AT,BE,DK,FR																																			11							
AT,BE,DZ																																					13					
AT,BE,ES																								4							6		27						1			
AT,BE,ES,HU																																7										
AT,BE,ES,JP,KR																																					3					
AT,BE,FR																																				26						
AT,BE,FR,GB																					58																					
AT,BE,GR,IT																																			10							
AT,BE,HR,PL,US																																			21							
AT,BE,IN,US																																	1									
AT,BE,IT																																			39					12		
AT,BE,KR,LU																																					18					
AT,BE,LT																										41					17											
AT,BE,NL																																				14	33					
AT,BE,RU																					11																	38				
AT,BE,RU,UA																																								60		
AT,BE,RU,US																															33											
AT,BE,US																																						6				
AT,BF,GB																																			2							
AT,BG				18									4				4	6	3				8	2		8		6						8				2		1		2
AT,BG,BR																														3												
AT,BG,DE																																		2								
AT,BG,DE,GR															5																											
AT,BG,DE,JP																								1																		
AT,BG,DE,RO																															1											
AT,BG,DE,TR																		2																								
AT,BG,DK																				4																						
AT,BG,PT																																	8									
AT,BG,SK																																	21									
AT,BR																														15	10	6	6	5	22	7	69	55	7	2		17
AT,BR,CH																																								50		
AT,BR,CH,DE,ES,FR,GR,IT,LV,US																																										1
AT,BR,CN,DE														2																												
AT,BR,DE																																	15								23	
AT,BR,DE,IT																					1																					
AT,BR,DE,VN																																	11									
AT,BR,ES,NL																										4																
AT,BR,FR																																							13			
AT,BR,GB																																			2							
AT,BR,JP,US																																		12								
AT,BR,PE																																		1								
AT,BR,RU																																					67			147		
AT,BR,US																																							1			
AT,BY,NL																																		16								
AT,CA																	5			26	5	5			10	19		22	21	42			3		15	80	96	26	75	33	11	41
AT,CA,CH																											39															
AT,CA,CN																					16																					
AT,CA,CZ,ZA																																					11					
AT,CA,DE											1												4							9	12	8			29	21		15	6			
AT,CA,DE,DK																	26																									
AT,CA,DE,FI																																									71	
AT,CA,DE,FI,US																																										6
AT,CA,DE,JP																																						15				
AT,CA,DE,RU																																										
AT,CA,DK																								28																		
AT,CA,FR																																		5		15						
AT,CA,GB																																				16				18		
AT,CA,GB,US																																						2				
AT,CA,IN																													4			8										
AT,CA,IR,PL,US																																			6							
AT,CA,LI																																						1				
AT,CA,NZ																														5	10											
AT,CA,NZ,SG,US																																					3					
AT,CH	33						21	10	72	29	1		7	27	59	77	13	26	20	1	29	15	61	140	68	120	115	137	348	240	175	123	89	161	48	82	124	90	88	231	121	94
AT,CH,CN																																	20									
AT,CH,CN,SI																																									1	
AT,CH,CZ																																			1							
AT,CH,DE														2			21						6		3	4				2		13	2		12					6	19	12
AT,CH,DE,ES,NL,US																																										47
AT,CH,DE,FR																													8							3						
AT,CH,DE,GB															2									8																		
AT,CH,DE,IT																																									137	
AT,CH,DE,JP																					11																					
AT,CH,DE,JP,PL,RU																						1																				
AT,CH,DE,PK																																									21	
AT,CH,DE,US																													8													
AT,CH,EC																															5						2					
AT,CH,ES																													17						14						1	
AT,CH,FR																				18												6	14	31	19		4				2	
AT,CH,FR,IT																									1																	
AT,CH,FR,PL																															1											
AT,CH,GB																																	35	11	98			39				
AT,CH,GB,IT																															3											
AT,CH,GB,NL																																	10									
AT,CH,GB,US																													68													
AT,CH,GR																																						52				
AT,CH,HU															18																											
AT,CH,IE,US																																			1							
AT,CH,IN																														31												
AT,CH,IR																																	3	4	2							
AT,CH,IT																								13			4						4			23						29
AT,CH,LI																													3				8			1						
AT,CH,MY																																							29			
AT,CH,NL																																				7			5			
AT,CH,NZ,RU																																						13				
AT,CH,PA																																										9
AT,CH,PK																																			35	51		39			22	
AT,CH,PL,SI																																									4	
AT,CH,SI																																	48								59	
AT,CH,SK																																						5				
AT,CH,US																						6							12	65						2	13		1			
AT,CH,US,null																												2														
