1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AU,TH																							4						5											5		10
AU,TR																																2		9	4	12	6					
AU,TW																																	2				1			1		
AU,UA																						1	6		3	1			1				1			4						
AU,US	41	31	13	15	10	13		17	2	4			11	5	4	8	3	19	5	20	21	61	2	1	4	17	26	27	42	109	36	63	23	47	11	34	56	21	61	28	42	78
AU,VN																																						1				
AU,ZA														4		2									10	3				3		9	11								6	14
AU,null													2												4			1														
AZ		1	1	1					1			1											5		4		1		3	1	1						1	5	5	1		2
AZ,CN,TW																																					7	9				
AZ,ES,IR,PL,RU																																				8		2				
AZ,ES,IT																																					3					
AZ,FI,PT																																1										
AZ,FR,RU																					37																					
AZ,GE																																				1						
AZ,IR																																		1								
AZ,IR,PT																																						1				
AZ,IR,RU																															1											
AZ,IR,US																																					1					
AZ,IT,RU							5																																			
AZ,PT																																3	1				2					
AZ,PT,RU																																	3	1			6	1				
AZ,RU						1	4	24	8					8		17														3	3					4			3			
AZ,RU,SA,TR																																										1
AZ,TR																								8		1	21					3						3		1		1
AZ,TW																																9										
BA																																	6			2						
BA,GB,RS																															5											
BA,HR										2																5											12	3	3		7	
BA,HR,RS,US																																										
BA,HR,TR																																										
BA,IT,RS																						5																				
BA,RS																																									4	
BB					1																	2	1	4																		
BB,GB																															11											
BB,JM,US																	2																									
BD	4			9		6	9		21		53	46	14		10		4	6		3		12			14		45	14			5	34	3		11	15		19	14	19	38	35
BD,BE,CA,IR,IT,PT																																									16	
BD,BN																					2																					
BD,BN,CA																6																										
BD,BN,CA,US																5																										
BD,BN,US																	2	2			3																					
BD,CA								4			8																					8										
BD,CA,CH,DE,IR,IT																																									6	
BD,CA,CH,DE,IR,IT,PT																																								12		
BD,CA,DE,IT																																				8						
BD,CH,DE,IR,PT																																										10
BD,CN,GB																													10													
BD,DE																					6			3	6		5		6		4		6	16	2	21	17	17		2	27	
BD,DE,GB			3															12											19			7										
BD,DE,GB,IN,US																																					10					
BD,DE,GB,US																			7																		8					6
BD,DE,IT																																		8	15			8			6	3
BD,DE,IT,US																													9													
BD,DE,JP																										5						1				8						
BD,DE,US																													6													
BD,EG																																										3
BD,EG,MY																																										
BD,EG,US																																										4
